Cell hash_umis pval qval top_to_second_best_ratio top_oligo top_hash_umi
A01_B02_RT_26 8 5.48698687922088e-07 1.64609606376626e-06 151 E8 7
A01_B02_RT_30 15 3.34310469642923e-28 1.67155234821462e-27 Inf A7 14
A01_B02_RT_32 34 7.32618461380485e-171 1.02566584593268e-169 Inf D8 34
A01_B02_RT_37 63 9.96727880856606e-233 1.59476460937057e-231 117 D8 54
A01_B02_RT_38 70 3.2939699498529e-102 3.95276393982348e-101 Inf D7 69
A01_B02_RT_39 130 2.24421218576842e-193 3.36631827865263e-192 Inf D7 128
A01_B02_RT_4 37 2.49417740824658e-47 1.7459241857726e-46 Inf B7 35
A01_B02_RT_54 74 6.20034552194053e-107 8.06044917852269e-106 63.12 D7 72
A01_B02_RT_60 21 2.86862234453057e-29 1.72117340671834e-28 Inf C8 21
A01_B02_RT_61 80 8.96353295801405e-58 7.17082636641124e-57 38.7142857142857 F7 67
A01_B02_RT_70 46 3.97749192150381e-18 1.59099676860152e-17 4.13138686131387 C7 30
A01_B02_RT_72 66 1.90293990847025e-99 2.09323389931727e-98 Inf B7 66
A01_B02_RT_78 50 9.21045301539512e-73 9.21045301539512e-72 43 D7 49
A01_B02_RT_84 13 0.265025915297362 0.530051830594724 1.22950819672131 F8 3
A01_B02_RT_88 8 1 1 Inf B8 8
A01_B02_RT_93 30 1.05679927034006e-69 9.51119343306053e-69 Inf A7 30
A01_B03_RT_10 15 1.27397176060264e-60 2.54794352120528e-60 8.89655172413793 F8 9
A01_B03_RT_11 167 4.27376950490842e-138 2.13688475245421e-137 Inf D7 162
A01_B03_RT_13 37 3.46458701575787e-117 1.03937610472736e-116 86.1363636363636 B8 34
A01_B03_RT_2 206 0 0 9.15004574565416 D8 173
A01_B03_RT_21 2078 0 0 Inf C7 2075
A01_B03_RT_26 57 1.10841868760693e-188 7.75893081324854e-188 Inf A8 53
A01_B03_RT_31 52 0 0 Inf C8 52
A01_B03_RT_34 98 4.35316302031517e-205 5.2237956243782e-204 Inf B7 95
A01_B03_RT_36 43 1.95393540294146e-296 2.73550956411804e-295 5.93247588424437 C8 32
A01_B03_RT_39 17 5.74524711336362e-33 5.74524711336362e-33 Inf A8 13
A01_B03_RT_4 214 0 0 Inf F7 212
A01_B03_RT_40 62 1.2797882255983e-216 1.66372469327779e-215 Inf B8 59
A01_B03_RT_43 37 1.05393328513879e-132 4.21573314055516e-132 Inf A8 36
A01_B03_RT_51 265 0 0 Inf B7 263
A01_B03_RT_54 43 9.81517745853537e-141 5.88910647512122e-140 Inf B8 40
A01_B03_RT_58 57 1.03506291250368e-204 1.13856920375405e-203 Inf A8 55
A01_B03_RT_59 251 0 0 Inf A7 250
A01_B03_RT_67 61 4.93327460982103e-197 4.93327460982103e-196 Inf B8 56
A01_B03_RT_72 320 3.00682272839168e-194 2.70614045555252e-193 Inf E7 320
A01_B03_RT_79 343 0 0 Inf A7 339
A01_B03_RT_84 128 2.87454551929253e-193 2.29963641543402e-192 Inf C7 127
A01_B03_RT_92 451 0 0 Inf D7 451
A01_C03_RT_0 180 0 0 Inf D8 176
A01_C03_RT_12 348 0 0 Inf F7 347
A01_C03_RT_13 42 1.53795648362125e-250 2.15313907706975e-249 Inf C8 36
A01_C03_RT_21 188 0 0 3.497277676951 E7 141
A01_C03_RT_24 21 1.92416189668452e-44 7.6966475867381e-44 Inf F7 20
A01_C03_RT_27 402 3.98064685205739e-138 4.77677622246886e-137 Inf C7 398
A01_C03_RT_29 16 1.96078519276932e-22 1.96078519276932e-22 Inf E8 13
A01_C03_RT_33 524 2.25871970580416e-183 2.93633561754541e-182 Inf C7 520
A01_C03_RT_38 40 7.5270611293612e-110 7.5270611293612e-109 Inf A7 34
A01_C03_RT_42 43 8.43683797153465e-68 5.90578658007425e-67 Inf A8 39
A01_C03_RT_5 329 0 0 Inf D7 328
A01_C03_RT_51 59 5.81939999858401e-43 1.7458199995752e-42 2620.49999999999 D7 54
A01_C03_RT_58 21 6.70576262087054e-35 1.34115252417411e-34 Inf A8 20
A01_C03_RT_6 32 1.26096707356842e-57 6.3048353678421e-57 Inf A8 31
A01_C03_RT_60 93 2.94239280873559e-83 2.64815352786203e-82 Inf D7 91
A01_C03_RT_68 59 4.89099180707009e-110 5.3800909877771e-109 Inf A8 57
A01_C03_RT_71 32 3.76715664042091e-62 2.26029398425255e-61 Inf A8 32
A01_C03_RT_76 38 4.14464878334186e-73 3.31571902667349e-72 Inf E8 34
A01_C03_RT_85 55 0 0 Inf B8 52
A02_B02_RT_11 471 0 0 Inf D7 466
A02_B02_RT_12 165 0 0 Inf A7 160
A02_B02_RT_17 89 0 0 37.6366995073892 A8 74
A02_B02_RT_23 17 1.78312227544376e-12 3.56624455088752e-12 3.45465253239105 F8 7
A02_B02_RT_27 401 0 0 8814 F7 393
A02_B02_RT_30 62 0 0 54.2601431980907 A8 55
A02_B02_RT_41 787 0 0 8.72769174652651 D7 677
A02_B02_RT_43 637 0 0 Inf C7 633
A02_B02_RT_6 286 2.0182836795668e-12 3.56624455088752e-12 189.533834586466 D8 282
A02_B02_RT_79 813 0 0 758.431980906921 C7 805
A02_B02_RT_80 128 0 0 Inf A7 126
A02_B02_RT_89 31 0 0 Inf C8 30
A02_B02_RT_91 35 0 0 35.5520833333333 A8 33
A02_B03_RT_0 48 7.25174397141225e-213 8.7020927656947e-212 Inf B7 47
A02_B03_RT_11 55 0.0195667173854842 0.0391334347709685 Inf A8 50
A02_B03_RT_13 191 0 0 Inf F7 185
A02_B03_RT_22 475 0 0 430.695652173913 C7 472
A02_B03_RT_26 201 0 0 15.8418972332016 D8 183
A02_B03_RT_27 236 9.53872375613474e-232 1.24003408829752e-230 Inf A7 234
A02_B03_RT_28 69 2.7673661641397e-61 1.66041969848382e-60 1.27272727272727 C8 37
A02_B03_RT_3 412 0 0 Inf A7 410
A02_B03_RT_30 206 0 0 192.04347826087 D8 201
A02_B03_RT_33 124 2.18400289567125e-91 1.96560260610413e-90 Inf D7 124
A02_B03_RT_37 259 5.4887767579702e-194 6.03765443376722e-193 Inf D7 258
A02_B03_RT_4 439 0 0 Inf D7 437
A02_B03_RT_43 143 4.02052912484422e-104 4.02052912484422e-103 Inf E7 142
A02_B03_RT_44 68 3.21881633224532e-298 4.82822449836798e-297 Inf B7 66
A02_B03_RT_5 5 3.09871229664803e-08 9.29613688994409e-08 2.78260869565217 F7 3
A02_B03_RT_55 38 1.25271648931237e-42 6.26358244656185e-42 30.0434782608696 C8 35
A02_B03_RT_57 47 1.18353615098393e-15 4.7341446039357e-15 21.9777777777778 A8 43
A02_B03_RT_59 13 0.386211562374649 0.386211562374649 Inf B8 10
A02_B03_RT_75 92 1.39826401759587e-77 9.78784812317106e-77 Inf A7 87
A02_B03_RT_86 56 1.16763422271088e-260 1.63468791179523e-259 Inf B7 56
A02_B03_RT_89 156 0 0 Inf C7 156
A02_B03_RT_92 63 5.94537376194741e-78 4.75629900955793e-77 51.7826086956522 C8 60
A02_C03_RT_17 95 0 0 Inf B7 92
A02_C03_RT_2 296 0 0 Inf E7 295
A02_C03_RT_20 391 0 0 Inf E7 386
A02_C03_RT_22 50 2.74099684292922e-55 1.09639873717169e-54 Inf E8 45
A02_C03_RT_26 432 0 0 Inf C7 429
A02_C03_RT_29 358 0 0 Inf F7 355
A02_C03_RT_31 71 1.1525974006538e-49 3.4577922019614e-49 Inf C7 67
A02_C03_RT_38 279 2.05757957698424e-175 1.85182161928582e-174 6.6634970945589 D7 236
A02_C03_RT_4 29 1.73266750178539e-43 3.46533500357078e-43 Inf A8 23
A02_C03_RT_46 144 0 0 Inf A7 141
A02_C03_RT_5 150 1.7609176946832e-122 1.40873415574656e-121 Inf D7 150
A02_C03_RT_50 77 6.37182455707565e-275 7.00900701278322e-274 Inf B7 73
A02_C03_RT_54 127 0 0 Inf D8 118
A02_C03_RT_6 351 9.44431470164284e-217 9.44431470164284e-216 5.02361157299634 D7 286
A02_C03_RT_60 22 2.50985027868511e-17 2.50985027868511e-17 Inf E8 18
A02_C03_RT_78 448 0 0 Inf F7 444
A02_C03_RT_85 32 7.78062679056432e-78 3.89031339528216e-77 Inf B8 24
A02_C03_RT_86 138 1.69735700592242e-115 1.18814990414569e-114 Inf C7 137
A02_C03_RT_93 52 1.68426312856339e-110 1.01055787713803e-109 Inf A8 47
A03_B02_RT_11 330 0 0 300.615384615385 C7 326
A03_B02_RT_13 112 4.22360793527796e-106 2.11180396763898e-105 21.1923076923077 D8 102
A03_B02_RT_19 154 3.09471893726171e-160 2.1663032560832e-159 Inf D8 148
A03_B02_RT_2 89 2.10655419709814e-81 6.31966259129441e-81 Inf C8 82
A03_B02_RT_22 190 0 0 Inf A7 184
A03_B02_RT_29 128 0 0 Inf E7 121
A03_B02_RT_3 90 1.89081135869543e-78 3.78162271739087e-78 Inf F7 88
A03_B02_RT_36 218 0 0 Inf D7 215
A03_B02_RT_38 468 0 0 Inf F7 440
A03_B02_RT_4 213 0 0 Inf D7 212
A03_B02_RT_43 64 1.63832516227162e-159 9.82995097362971e-159 Inf A8 64
A03_B02_RT_50 87 2.02595799685932e-213 1.62076639748746e-212 Inf C7 86
A03_B02_RT_66 113 0 0 Inf E7 109
A03_B02_RT_81 53 3.29069763551163e-94 1.31627905420465e-93 Inf B8 53
A03_B02_RT_85 36 3.4239901055776e-30 3.4239901055776e-30 Inf C8 33
A03_B02_RT_90 335 0 0 4.29708222811671 D7 275
A03_B03_RT_14 600 0 0 234.75 C7 597
A03_B03_RT_2 399 1.20552433224049e-287 9.64419465792388e-287 307.225 D7 397
A03_B03_RT_26 766 0 0 Inf C7 763
A03_B03_RT_42 32 1.5123028188913e-32 1.5123028188913e-32 Inf B8 27
A03_B03_RT_48 36 2.46571929183457e-57 4.93143858366913e-57 Inf E8 32
A03_B03_RT_51 125 9.57355845442359e-152 4.7867792272118e-151 1.49010654490107 A8 69
A03_B03_RT_54 42 5.79129929600753e-66 2.31651971840301e-65 Inf B8 42
A03_B03_RT_73 55 5.33270155669952e-165 3.19962093401971e-164 Inf A8 54
A03_B03_RT_74 198 0 0 Inf A7 196
A03_B03_RT_78 23 2.11582236216254e-62 6.34746708648761e-62 Inf A8 22
A03_B03_RT_87 77 1.88266254527355e-309 1.6943962907462e-308 Inf C8 77
A03_B03_RT_92 141 0 0 Inf B7 138
A03_B03_RT_93 229 2.83618262994113e-197 1.98532784095879e-196 1.22827975673328 A8 85
A03_C03_RT_10 802 0 0 1.5052509463915 C7 451
A03_C03_RT_17 211 2.4059263179791e-280 2.88711158157493e-279 Inf F7 208
A03_C03_RT_29 29 3.23448206068573e-25 1.29379282427429e-24 140 A8 24
A03_C03_RT_30 155 2.51996163153393e-290 3.2759501209941e-289 Inf D8 151
A03_C03_RT_36 27 2.4008094779561e-05 2.4008094779561e-05 24.9878048780488 C8 24
A03_C03_RT_37 37 1.45876466066142e-10 2.91752932132284e-10 Inf C8 36
A03_C03_RT_4 195 0 0 Inf B7 193
