gene	fc
PTGER4	3.267911903032531
SOCS1	3.2389321793784
TSC22D3	3.097933358129496
SPRY1	2.949983290299582
RASD1	2.9110086954758305
PSORS1C2	2.7741530915101777
PER1	2.5408345058219544
RGS2	2.4384044090512353
ZFP36	2.2897460677029233
PSORS1C1	2.151723365855053
HRASLS2	2.0237156161709
POU5F1	1.9980112987364569
TFCP2L1	1.989196688636493
IGFBP1	1.948831815118716
F3	1.9241529046973505
ANGPTL4	1.9219576473201059
GOLSYN	1.9072052099137582
BIRC3	1.8705594431259194
KLF4	1.8254560247864995
ENTPD2	1.7604864886927962
RGC32	1.753820125723375
PDK4	1.7195813776545894
CIDEC	1.6998973731155618
TIPARP	1.6942688495921792
BCL6	1.6778381155895512
SNAI2	1.6376300031398325
CITED2	1.5908231438325602
KLF6	1.5457484484062032
SLC19A2	1.5383789516767177
NFKBIA	1.5302892848587097
CEBPD	1.487520629451511
ERRFI1	1.4710038877255083
SDPR	1.454120547814402
PRDM1	1.450053083101467
PAMCI	1.4446244038694258
GALNT4	1.39658228612887
GADD45A	1.3920941617388443
C9orf150	1.3530344125901494
KLF9	1.3509293711194212
FAM43A	1.3461821700743375
CCHCR1	1.3358513368664453
RRAD	1.3353876710054
DUSP1	1.3275378610730546
CDC42EP3	1.2258791117680514
ZC3H12A	1.1841563770706227
TNFAIP3	1.1769866652764984
STRA8	1.1765201902576057
PARD6B	1.1317097253896218
PER2	1.1214792945030638
ERN1	1.1070403932346264
STOM	1.066228288114722
THBD	1.0327231462452382
CTGF	1.0192305865064115
ALOX5AP	1.0184791031008904
ELL2	1.0162859350584548
CPEB4	0.991027594306138
CEBPB	0.9803652716729137
CXCL2	0.9602954945910399
EDN2	0.9523425324643373
ARL4D	0.9023459799380964
ZNF57	0.8482044553408012
CRY2	0.8423005630716273
RIPK4	0.8412361364442208
TSPYL2	0.8400825423158166
ARL4A	0.8380795804459006
STK17B	0.8311333110363742
PXN	0.8278015431089195
FGD4	0.8240372539122921
GENX-3414	0.7969808376446299
FOSL2	0.7950192066169949
MCL1	0.7880139931399638
PIM3	0.7788007904282873
HIG2	0.7741129374566428
RHOU	0.764821318707602
MT2A	0.7638700828164333
ITPKC	0.7430604617329044
MT1X	0.7355494444564018
PLEKHF2	0.7259922998733551
TSC22D2	0.7169872036021748
TBX3	0.7122567481044624
CKB	0.7097712039449058
SPRY2	0.7095328553067939
TIGD2	0.7040557492734524
SEC14L2	0.7029344975820243
SGK	0.6973993916306901
SNN	0.6736444672458796
KIAA1754	0.6610495067439013
SLC22A5	0.6605181191323163
IRS2	0.6602830318372997
FAM105A	0.6595751085828848
ZFAND5	0.6535561746323945
PNRC1	0.649036734128526
ETNK2	0.6481763425078614
SLC26A2	0.6357030158439259
PYGB	0.6306295621008012
FOXN2	0.6120157145772928
RHOBTB1	0.6111523848485699
DUSP6	0.6042782271673135
NOL3	0.6000066322822518
CCR7	0.5961423939333296
PPP1R3B	0.5778495359676183
NT5DC3	0.5767755283625696
NR1D2	0.5555697530387012
ARRDC2	0.5526522688273091
FKBP5	0.54453362910825
DDIT4	0.5437796955210035
RHOBTB2	0.5388789922803653
TMEM64	0.538863033122242
ZNF281	0.5245005078184232
DSCR1	0.5232023057218759
APOL2	0.5212756443593436
PPP1R15B	0.47454381953742947
ANKRD1	0.4728027196077533
LRRC8A	0.4663797294661236
RHOB	0.464361111266804
INHBB	0.4607208864578076
TGFBR1	0.4538659503530577
KLF5	0.44243702049127487
BAG3	0.44239297588927606
SRGN	0.4345488584975225
IL6ST	0.42027875052948815
AHNAK	0.4081158133375655
THBS1	0.40053913710798655
