SampleName Cell top_oligo Axis top_hash_umi top_to_second_best_ratio
hashPyY A01_D07_RT_14 H11 1 62 Inf
hashPyY A01_D07_RT_15 H11 1 40 Inf
hashPyY A01_D07_RT_17 H11 1 122 Inf
hashPyY A01_D07_RT_19 H11 1 101 Inf
hashPyY A01_D07_RT_25 H11 1 67 Inf
hashPyY A01_D07_RT_29 H11 1 63 Inf
hashPyY A01_D07_RT_30 H11 1 49 Inf
hashPyY A01_D07_RT_40 H11 1 53 Inf
hashPyY A01_D07_RT_45 H11 1 60 Inf
hashPyY A01_D07_RT_50 H11 1 88 Inf
hashPyY A01_D07_RT_52 H11 1 89 Inf
hashPyY A01_D07_RT_64 H11 1 128 Inf
hashPyY A01_D07_RT_65 H11 1 73 Inf
hashPyY A01_D07_RT_70 H11 1 49 Inf
hashPyY A01_D07_RT_71 H11 1 177 Inf
hashPyY A01_D07_RT_72 H11 1 32 Inf
hashPyY A01_D07_RT_75 H11 1 109 Inf
hashPyY A01_D07_RT_78 H11 1 71 Inf
hashPyY A01_D07_RT_82 H11 1 68 Inf
hashPyY A01_D07_RT_83 H11 1 76 Inf
hashPyY A01_D07_RT_91 H11 1 43 Inf
hashPyY A01_H06_RT_0 H11 1 62 Inf
hashPyY A01_H06_RT_10 H11 1 234 Inf
hashPyY A01_H06_RT_15 H11 1 67 Inf
hashPyY A01_H06_RT_17 H11 1 99 Inf
hashPyY A01_H06_RT_18 H11 1 67 Inf
hashPyY A01_H06_RT_27 H11 1 183 Inf
hashPyY A01_H06_RT_30 H11 1 279 Inf
hashPyY A01_H06_RT_31 H11 1 88 Inf
hashPyY A01_H06_RT_50 H11 1 249 Inf
hashPyY A01_H06_RT_52 H11 1 102 Inf
hashPyY A01_H06_RT_54 H11 1 106 Inf
hashPyY A01_H06_RT_56 H11 1 61 Inf
hashPyY A01_H06_RT_62 H11 1 78 Inf
hashPyY A01_H06_RT_64 H11 1 114 Inf
hashPyY A01_H06_RT_67 H11 1 71 Inf
hashPyY A01_H06_RT_68 H11 1 135 Inf
hashPyY A01_H06_RT_71 H11 1 63 Inf
hashPyY A01_H06_RT_73 H11 1 82 Inf
hashPyY A01_H06_RT_76 H11 1 94 Inf
hashPyY A01_H06_RT_77 H11 1 72 Inf
hashPyY A01_H06_RT_83 H11 1 75 Inf
hashPyY A01_H06_RT_89 H11 1 69 Inf
hashPyY A02_D07_RT_0 H11 1 51 Inf
hashPyY A02_D07_RT_21 H11 1 51 Inf
hashPyY A02_D07_RT_28 H11 1 58 Inf
hashPyY A02_D07_RT_3 H11 1 84 Inf
hashPyY A02_D07_RT_32 H11 1 44 Inf
hashPyY A02_D07_RT_37 H11 1 35 Inf
hashPyY A02_D07_RT_42 H11 1 29 Inf
hashPyY A02_D07_RT_46 H11 1 137 Inf
hashPyY A02_D07_RT_47 H11 1 29 Inf
