id gene_short_name num_cells_expressed status term estimate std_err test_val p_value normalized_effect model_component q_value normalization
ENSG00000001084.10 GCLC 191 OK DexTRUE -0.682256346991808 0.118827540332748 -5.74156752787539 9.38041375726863e-09 -0.978558537841508 count 4.79526751271572e-05 Conventional
ENSG00000002746.14 HECW1 172 OK DexTRUE 0.689909103104016 0.121706367223725 5.66863606926826 1.43938735170787e-08 0.986270076718402 count 7.3523905925238e-05 Conventional
ENSG00000004799.7 PDK4 101 OK DexTRUE 0.874704649189069 0.197555766418923 4.42763410577565 9.52723381086808e-06 1.24463516518732 count 0.0480839490434512 Conventional
ENSG00000008513.14 ST3GAL1 54 OK DexTRUE 1.47069462947358 0.254386604279567 5.7813367714021 7.41093654342897e-09 2.03584700966317 count 3.79069404196392e-05 Conventional
ENSG00000018236.14 CNTN1 418 OK DexTRUE -0.66402564245549 0.0675396569931788 -9.83164072809184 8.2267387525602e-23 -0.956466945711544 count 4.2630960215767e-19 Conventional
ENSG00000019186.9 CYP24A1 280 OK DexTRUE -1.096880836914 0.0914657140189774 -11.992262332161 3.90103019908998e-33 -1.57679815517382 count 2.02502477634761e-29 Conventional
ENSG00000023839.10 ABCC2 284 OK DexTRUE -0.494356518277581 0.074731225845512 -6.61512657773791 3.71233957109063e-11 -0.709758910335997 count 1.90962747536902e-07 Conventional
ENSG00000023909.9 GCLM 194 OK DexTRUE -0.51119245016124 0.109108235899551 -4.68518664926326 2.79704919273253e-06 -0.732010351193978 count 0.0141754453087685 Conventional
ENSG00000035403.17 VCL 176 OK DexTRUE 0.490434287261638 0.109604087032784 4.47459853495192 7.6555016677437e-06 0.699724075023425 count 0.0386679389237734 Conventional
ENSG00000038382.18 TRIO 316 OK DexTRUE 0.64698046605198 0.0809942636287757 7.98797886498866 1.3716895939752e-15 0.929323651219859 count 7.08752013206986e-12 Conventional
ENSG00000053747.15 LAMA3 104 OK DexTRUE 1.23919438656073 0.180191411022636 6.87710018767241 6.10831536047481e-12 1.76363793845743 count 3.14578241064453e-08 Conventional
ENSG00000064042.17 LIMCH1 291 OK DexTRUE 0.452110801124475 0.0904906459008543 4.99621586986824 5.84662117727527e-07 0.649555820200348 count 0.00297183754440902 Conventional
ENSG00000064393.15 HIPK2 210 OK DexTRUE 0.725815284030481 0.11082530812129 6.54918354241011 5.7852493804278e-11 1.04051632510198 count 2.97535375635402e-07 Conventional
ENSG00000064787.13 BCAS1 33 OK DexTRUE -1.16173963827489 0.260878008235398 -4.45319115295688 8.46033707460457e-06 -1.61524685919054 count 0.0427247022267531 Conventional
ENSG00000067798.14 NAV3 22 OK DexTRUE -1.36984631817687 0.24278040263127 -5.64232657714701 1.67767489818794e-08 -1.89492560328937 count 8.56788570504581e-05 Conventional
ENSG00000069020.18 MAST4 26 OK DexTRUE -1.09580898133589 0.21357115291949 -5.13088479579908 2.88383378497948e-07 -1.52269621736608 count 0.00146642947966207 Conventional
ENSG00000069188.16 SDK2 34 OK DexTRUE 1.81279909392162 0.317351779093553 5.7122701473409 1.11478932767757e-08 2.41703992003582 count 5.69657346443238e-05 Conventional
ENSG00000069869.15 NEDD4 258 OK DexTRUE 0.509097938504811 0.0972422543168558 5.23535722285868 1.64666074015988e-07 0.730820553636108 count 0.000838150316741379 Conventional
ENSG00000073282.12 TP63 48 OK DexTRUE -1.61281403189045 0.223611091363664 -7.21258512739643 5.489948734624e-13 -2.27681823301738 count 2.83281354706598e-09 Conventional
ENSG00000073756.11 PTGS2 52 OK DexTRUE -1.1889468775683 0.212108048459052 -5.6053831347085 2.0779479024852e-08 -1.65965076467511 count 0.000106100019900894 Conventional
ENSG00000076356.6 PLXNA2 59 OK DexTRUE 1.00827244972341 0.222670523619969 4.52809125039033 5.95188800285475e-06 1.41522072413412 count 0.0301106014064422 Conventional
ENSG00000078114.18 NEBL 147 OK DexTRUE 1.14418470880899 0.151932718760046 7.53086443885768 5.04054980736941e-14 1.63379576451812 count 2.60243586554483e-10 Conventional
ENSG00000084733.10 RAB10 334 OK DexTRUE -0.389604520059918 0.0728502997539697 -5.34801533247896 8.89239339827633e-08 -0.55997438853305 count 0.000453156367576162 Conventional
ENSG00000089902.9 RCOR1 113 OK DexTRUE 0.712571612162583 0.143440471291013 4.96771661267701 6.77458658835216e-07 1.01235161034838 count 0.00344284490420057 Conventional
ENSG00000091129.19 NRCAM 403 OK DexTRUE 0.54977820613147 0.0762568862914405 7.20955487259621 5.61350736765011e-13 0.791614422283733 count 2.89600845097069e-09 Conventional
ENSG00000096060.14 FKBP5 211 OK DexTRUE 2.73332786063133 0.175116291812701 15.6086440178553 6.3573813879125e-55 3.8817215390519 count 3.30138815474296e-51 Conventional
ENSG00000099139.13 PCSK5 122 OK DexTRUE 0.819141045033813 0.172874934411714 4.73834479140262 2.15470969123839e-06 1.16840195683581 count 0.0109222234248874 Conventional
ENSG00000100266.18 PACSIN2 169 OK DexTRUE 1.20950352426383 0.129740362464649 9.32249225520226 1.13639034465272e-20 1.72796663296671 count 5.88422920461178e-17 Conventional
ENSG00000100994.11 PYGB 218 OK DexTRUE 1.11559114370453 0.104628798665628 10.6623717172718 1.52654077788126e-26 1.59485624690493 count 7.9181670148701e-23 Conventional
ENSG00000100997.18 ABHD12 199 OK DexTRUE 0.534326445541323 0.115641788562892 4.62053079757347 3.82759518246968e-06 0.764870122579417 count 0.019379114408844 Conventional
ENSG00000101871.14 MID1 249 OK DexTRUE -0.739511375470561 0.10182761124448 -7.26238557924189 3.80322201737983e-13 -1.06242074174031 count 1.96322320537147e-09 Conventional
ENSG00000102780.16 DGKH 94 OK DexTRUE 0.774326634531184 0.1427598386822 5.42398087360499 5.82861214107679e-08 1.09981969114364 count 0.000297200933073506 Conventional
ENSG00000102908.20 NFAT5 228 OK DexTRUE -0.5218952226272 0.0938874120945936 -5.55873477587581 2.71737255351437e-08 -0.748549391644736 count 0.000138694695131373 Conventional
ENSG00000103222.18 ABCC1 294 OK DexTRUE -0.356070704451584 0.0801443896407007 -4.44286500961455 8.87688629254649e-06 -0.511464055565764 count 0.0448105220047747 Conventional
ENSG00000104419.14 NDRG1 54 OK DexTRUE 1.11508414050012 0.246748486033094 4.51911239021976 6.20994250562338e-06 1.55239019878787 count 0.0314098891934431 Conventional
ENSG00000104635.13 SLC39A14 97 OK DexTRUE 0.669786271083741 0.138139652983779 4.84861700906682 1.24325189698172e-06 0.948712786486969 count 0.00630701687338827 Conventional
ENSG00000106366.8 SERPINE1 104 OK DexTRUE 1.01769370090815 0.208919704448437 4.87121932129346 1.10911638980172e-06 1.45294245374848 count 0.00562987479463353 Conventional
ENSG00000106799.12 TGFBR1 89 OK DexTRUE 1.33102004345125 0.169449299699748 7.85497518024405 3.99851322804249e-15 1.88365186953772 count 2.06523208228395e-11 Conventional
ENSG00000106853.18 PTGR1 334 OK DexTRUE -0.521443222337249 0.0869804260577941 -5.99494904739575 2.0354925346067e-09 -0.750145796263075 count 1.04257927622555e-05 Conventional
ENSG00000107249.21 GLIS3 348 OK DexTRUE 0.887147322193649 0.0929606921415247 9.54325211825062 1.38422014412785e-21 1.27668761073674 count 7.16887612643814e-18 Conventional
ENSG00000110328.5 GALNT18 137 OK DexTRUE 2.07138092941226 0.192623483815348 10.7535223036352 5.70409085984629e-27 2.92485825590876 count 2.95928233808826e-23 Conventional
