id gene_short_name num_cells_expressed q_value normalization time annotation hdaci_dex_estimate dex_estimate respond
ENSG00000240602.7 AADACP1 146 0.0105733877547049 Hash 4 HDACi -0.360982604242973 -0.765166809630652 Yes
ENSG00000240602.7 AADACP1 52 0.00546411579309408 Hash 24 Dex 0 -0.765166809630652 No
ENSG00000103222.18 ABCC1 294 0.0448105220047747 Conventional 4 Dex 0 -0.356070704451584 No
ENSG00000103222.18 ABCC1 294 0.0448105220047747 Conventional 24 Dex 0 -0.356070704451584 No
ENSG00000103222.18 ABCC1 294 3.99751224920395e-05 Hash 4 Dex 0 -0.480691378638922 No
ENSG00000103222.18 ABCC1 294 3.99751224920395e-05 Hash 24 Dex 0 -0.480691378638922 No
ENSG00000023839.10 ABCC2 284 1.90962747536902e-07 Conventional 4 Dex 0 -0.494356518277581 No
ENSG00000023839.10 ABCC2 284 1.90962747536902e-07 Conventional 24 Dex 0 -0.494356518277581 No
ENSG00000023839.10 ABCC2 284 3.32976924705459e-14 Hash 4 Dex 0 -0.678507055224099 No
ENSG00000023839.10 ABCC2 284 3.32976924705459e-14 Hash 24 Dex 0 -0.678507055224099 No
ENSG00000125257.13 ABCC4 232 1.53377685636866e-07 Conventional 4 Dex 0 0.737916146809653 No
ENSG00000125257.13 ABCC4 232 1.53377685636866e-07 Conventional 24 Dex 0 0.737916146809653 No
ENSG00000125257.13 ABCC4 232 0.00880652553205266 Hash 4 Dex 0 0.520119979775644 No
ENSG00000125257.13 ABCC4 232 0.00880652553205266 Hash 24 Dex 0 0.520119979775644 No
ENSG00000100997.18 ABHD12 706 2.56604117744366e-06 Conventional 4 HDACi 0.323261823292027 0.534326445541323 Yes
ENSG00000100997.18 ABHD12 354 0.0115037661278754 Conventional 24 HDACi 0.32465433543253 0.534326445541323 Yes
ENSG00000140526.17 ABHD2 895 0.00199458168511245 Conventional 4 HDACi 0.180832248700219 0.886488264640071 Yes
ENSG00000140526.17 ABHD2 277 1.79083252557704e-05 Conventional 24 HDACi 0.423135448370988 0.886488264640071 Yes
ENSG00000140526.17 ABHD2 893 0.00763367712293867 Hash 4 HDACi 0.176031793008339 0.781718230371283 Yes
ENSG00000140526.17 ABHD2 283 8.61033299734333e-06 Hash 24 HDACi 0.432431521121034 0.781718230371283 Yes
ENSG00000263711.5 AC079062.1 108 0.00945089781679764 Hash 4 Dex 0 -0.66111673842735 No
ENSG00000263711.5 AC079062.1 108 0.00945089781679764 Hash 24 Dex 0 -0.66111673842735 No
ENSG00000278540.4 ACACA 316 0.0131273138143635 Hash 4 Dex 0 -0.38626187197894 No
ENSG00000278540.4 ACACA 316 0.0131273138143635 Hash 24 Dex 0 -0.38626187197894 No
ENSG00000173744.17 AGFG1 145 0.0231303293070358 Hash 4 Dex 0 -0.456951259981875 No
ENSG00000173744.17 AGFG1 145 0.0231303293070358 Hash 24 Dex 0 -0.456951259981875 No
ENSG00000124942.13 AHNAK 262 1.34464431148985e-11 Conventional 4 Dex 0 0.808698860314438 No
ENSG00000124942.13 AHNAK 262 1.34464431148985e-11 Conventional 24 Dex 0 0.808698860314438 No
ENSG00000124942.13 AHNAK 262 1.16220603995171e-06 Hash 4 Dex 0 0.663277807164081 No
ENSG00000124942.13 AHNAK 262 1.16220603995171e-06 Hash 24 Dex 0 0.663277807164081 No
ENSG00000131016.16 AKAP12 333 0.00437027954079516 Hash 24 HDACi 0.361413334241434 0.906363768253851 Yes
ENSG00000131016.16 AKAP12 99 6.60649607972273e-07 Conventional 4 Dex 0 1.02912565917138 No
ENSG00000131016.16 AKAP12 99 6.60649607972273e-07 Conventional 24 Dex 0 1.02912565917138 No
ENSG00000131016.16 AKAP12 99 0.000110887448078681 Hash 4 Dex 0 0.906363768253851 No
ENSG00000170776.21 AKAP13 1832 7.70307645043582e-42 Conventional 4 HDACi 0.383585478750828 0.994901517888902 Yes
ENSG00000170776.21 AKAP13 897 6.96814183545197e-28 Conventional 24 HDACi 0.455948264568633 0.994901517888902 Yes
ENSG00000170776.21 AKAP13 1827 9.58500133606282e-26 Hash 4 HDACi 0.342952998781947 0.875505247130922 Yes
ENSG00000170776.21 AKAP13 906 9.1261194657445e-23 Hash 24 HDACi 0.485955823187572 0.875505247130922 Yes
ENSG00000198074.9 AKR1B10 501 0.00648309799313008 Conventional 4 Dex 0 -0.251812346280325 No
ENSG00000198074.9 AKR1B10 501 0.00648309799313008 Conventional 24 Dex 0 -0.251812346280325 No
ENSG00000198074.9 AKR1B10 501 1.51246763520816e-06 Hash 4 Dex 0 -0.37715086000255 No
ENSG00000198074.9 AKR1B10 501 1.51246763520816e-06 Hash 24 Dex 0 -0.37715086000255 No
ENSG00000165092.12 ALDH1A1 2123 0.0374378002747132 Hash 4 HDACi -0.100310983762628 -0.249589855203309 Yes
ENSG00000165092.12 ALDH1A1 508 0.0135577904328975 Hash 24 Dex 0 -0.249589855203309 No
ENSG00000167772.11 ANGPTL4 535 1.41796765873729e-44 Conventional 4 HDACi 0.917876636409558 2.84944556065479 Yes
ENSG00000167772.11 ANGPTL4 272 9.3578717289657e-38 Conventional 24 HDACi 1.41783770780103 2.84944556065479 Yes
ENSG00000167772.11 ANGPTL4 535 2.80260686195892e-47 Hash 4 HDACi 0.936789538534469 2.80516233300779 Yes
ENSG00000167772.11 ANGPTL4 274 4.93662065757164e-45 Hash 24 HDACi 1.49872783266464 2.80516233300779 Yes
ENSG00000145362.17 ANK2 232 0.00520475306902227 Conventional 4 Dex 0 0.509609911198987 No
ENSG00000145362.17 ANK2 232 0.00520475306902227 Conventional 24 Dex 0 0.509609911198987 No
ENSG00000182718.16 ANXA2 453 5.02177141930988e-09 Conventional 4 Dex 0 0.414489421359739 No
ENSG00000182718.16 ANXA2 453 5.02177141930988e-09 Conventional 24 Dex 0 0.414489421359739 No
ENSG00000146376.10 ARHGAP18 82 5.130649829227e-06 Conventional 4 Dex 0 -1.1594360462752 No
ENSG00000146376.10 ARHGAP18 82 5.130649829227e-06 Conventional 24 Dex 0 -1.1594360462752 No
ENSG00000146376.10 ARHGAP18 82 8.0678008624964e-07 Hash 4 Dex 0 -1.19506815214147 No
ENSG00000146376.10 ARHGAP18 82 8.0678008624964e-07 Hash 24 Dex 0 -1.19506815214147 No
ENSG00000137486.16 ARRB1 101 3.71146564017016e-07 Conventional 4 Dex 0 1.27779342711315 No
ENSG00000137486.16 ARRB1 101 3.71146564017016e-07 Conventional 24 Dex 0 1.27779342711315 No
ENSG00000137486.16 ARRB1 101 4.49096459404693e-05 Hash 4 Dex 0 1.05946841193374 No
ENSG00000137486.16 ARRB1 101 4.49096459404693e-05 Hash 24 Dex 0 1.05946841193374 No
ENSG00000198363.17 ASPH 1923 0.0203814578937926 Hash 4 HDACi -0.118778208000061 -0.61689369499543 Yes
ENSG00000198363.17 ASPH 469 3.64083123944359e-18 Conventional 4 Dex 0 -0.500113655726455 No
ENSG00000198363.17 ASPH 469 3.64083123944359e-18 Conventional 24 Dex 0 -0.500113655726455 No
ENSG00000198363.17 ASPH 469 2.57607009939679e-19 Hash 24 Dex 0 -0.61689369499543 No
ENSG00000176788.8 BASP1 617 0.00433706785231964 Conventional 4 HDACi -0.203108429668314 -0.76950369490886 Yes
ENSG00000176788.8 BASP1 613 0.000246594955157857 Hash 4 HDACi -0.241757718718335 -0.89216491459132 Yes
ENSG00000176788.8 BASP1 101 6.38291007590952e-06 Conventional 24 Dex 0 -0.76950369490886 No
ENSG00000176788.8 BASP1 101 1.20687826207111e-08 Hash 24 Dex 0 -0.89216491459132 No
ENSG00000064787.13 BCAS1 33 0.0427247022267531 Conventional 4 Dex 0 -1.16173963827489 No
ENSG00000064787.13 BCAS1 33 0.0427247022267531 Conventional 24 Dex 0 -1.16173963827489 No
ENSG00000122870.11 BICC1 149 0.00124296257921301 Hash 4 Dex 0 -0.654490230494383 No
ENSG00000122870.11 BICC1 149 0.00124296257921301 Hash 24 Dex 0 -0.654490230494383 No
ENSG00000138696.10 BMPR1B 214 0.0446842470682526 Conventional 4 Dex 0 -0.452805659833468 No
ENSG00000138696.10 BMPR1B 214 0.0446842470682526 Conventional 24 Dex 0 -0.452805659833468 No
ENSG00000138696.10 BMPR1B 214 4.15658538737643e-05 Hash 4 Dex 0 -0.591967229209573 No
ENSG00000138696.10 BMPR1B 214 4.15658538737643e-05 Hash 24 Dex 0 -0.591967229209573 No
ENSG00000151136.14 BTBD11 1349 3.87815951321987e-74 Conventional 4 HDACi 0.710046066709626 1.26544588752975 Yes
ENSG00000151136.14 BTBD11 603 6.97897645617122e-23 Conventional 24 HDACi 0.626420099743417 1.26544588752975 Yes
ENSG00000151136.14 BTBD11 1345 4.53290029091951e-56 Hash 4 HDACi 0.668024457311403 1.15387670228251 Yes
ENSG00000151136.14 BTBD11 611 5.54101148934298e-20 Hash 24 HDACi 0.63901655453425 1.15387670228251 Yes
ENSG00000148120.16 C9orf3 304 2.61004377710478e-06 Conventional 4 Dex 0 -0.486838713010877 No
ENSG00000148120.16 C9orf3 304 2.61004377710478e-06 Conventional 24 Dex 0 -0.486838713010877 No
ENSG00000148120.16 C9orf3 304 1.41410595166819e-12 Hash 4 Dex 0 -0.665771414417297 No
ENSG00000148120.16 C9orf3 304 1.41410595166819e-12 Hash 24 Dex 0 -0.665771414417297 No
ENSG00000153956.15 CACNA2D1 244 0.000470676765181808 Hash 4 Dex 0 -0.546574803965758 No
ENSG00000153956.15 CACNA2D1 244 0.000470676765181808 Hash 24 Dex 0 -0.546574803965758 No
ENSG00000122786.19 CALD1 269 2.65974487827996e-08 Conventional 24 HDACi 0.535310326875632 1.1437428577517 Yes
ENSG00000122786.19 CALD1 270 2.85718675785971e-09 Hash 24 HDACi 0.559835087462797 0.997184911114929 Yes
ENSG00000122786.19 CALD1 208 2.16476082090826e-20 Conventional 4 Dex 0 1.1437428577517 No
ENSG00000122786.19 CALD1 208 8.2881216183882e-15 Hash 4 Dex 0 0.997184911114929 No
ENSG00000153113.23 CAST 325 0.000568892185745755 Hash 4 Dex 0 -0.418465818608256 No
ENSG00000153113.23 CAST 325 0.000568892185745755 Hash 24 Dex 0 -0.418465818608256 No
ENSG00000168497.4 CAVIN2 105 1.08610353194871e-13 Conventional 4 HDACi 1.35966327219408 1.42105058538988 Yes
ENSG00000168497.4 CAVIN2 92 4.22499971382161e-11 Conventional 24 HDACi 1.57136632836998 1.42105058538988 Yes
ENSG00000168497.4 CAVIN2 105 5.50462104536275e-12 Hash 4 HDACi 1.21218656560886 1.43930070487935 Yes
ENSG00000168497.4 CAVIN2 92 2.74680142254786e-13 Hash 24 HDACi 1.64176444344076 1.43930070487935 Yes
ENSG00000156535.13 CD109 155 0.000621955835162575 Conventional 4 Dex 0 0.614198595580208 No
ENSG00000156535.13 CD109 155 0.000621955835162575 Conventional 24 Dex 0 0.614198595580208 No
ENSG00000156535.13 CD109 155 0.0151594772880282 Hash 4 Dex 0 0.554798848117368 No
ENSG00000156535.13 CD109 155 0.0151594772880282 Hash 24 Dex 0 0.554798848117368 No
ENSG00000163171.7 CDC42EP3 98 2.43376344261195e-09 Conventional 4 Dex 0 1.27559281207686 No
ENSG00000163171.7 CDC42EP3 98 2.43376344261195e-09 Conventional 24 Dex 0 1.27559281207686 No
ENSG00000163171.7 CDC42EP3 98 2.71459544266132e-06 Hash 4 Dex 0 1.05100036982376 No
ENSG00000163171.7 CDC42EP3 98 2.71459544266132e-06 Hash 24 Dex 0 1.05100036982376 No
ENSG00000172216.5 CEBPB 156 7.07148356806924e-09 Conventional 24 HDACi 0.672210068199241 1.44668677270531 Yes
ENSG00000172216.5 CEBPB 158 2.67905082479883e-09 Hash 24 HDACi 0.640023878448769 1.20155654320305 Yes
ENSG00000172216.5 CEBPB 34 0.000136529361757241 Conventional 4 Dex 0 1.44668677270531 No
ENSG00000172216.5 CEBPB 34 0.00194805633032429 Hash 4 Dex 0 1.20155654320305 No
ENSG00000110721.11 CHKA 898 1.90806605843858e-07 Conventional 4 HDACi 0.296906786019224 1.17416238900884 Yes
ENSG00000110721.11 CHKA 896 5.04136640981839e-05 Hash 4 HDACi 0.255093478894059 1.04975800344301 Yes
ENSG00000110721.11 CHKA 121 4.33935670957834e-09 Conventional 24 Dex 0 1.17416238900884 No
ENSG00000110721.11 CHKA 121 2.5538940780043e-07 Hash 24 Dex 0 1.04975800344301 No
ENSG00000130779.19 CLIP1 157 0.00526857428885597 Hash 4 Dex 0 -0.555942607346264 No
ENSG00000130779.19 CLIP1 157 0.00526857428885597 Hash 24 Dex 0 -0.555942607346264 No
